"","AMT","TIME","TFDS","DV"
"508",200,69,3,74.68153961
"509",200,70,4,57.95920937
"510",200,71,5,46.33984856
"511",200,72,6,37.51512419
"512",200,0,0,0
"513",200,1,1,97.68231246
"514",200,2,2,79.83112285
"515",200,3,3,54.89200652
"516",200,4,4,39.03155668
"517",200,5,5,29.43763104
"518",200,6,0,23.4574064
"519",200,7,1,117.1947016
"520",200,8,2,96.55793612
"521",200,9,3,69.5153135
"522",200,10,4,51.97332078
"523",200,11,5,40.97642825
"524",200,12,0,33.79081848
"525",200,13,1,126.47273225
"526",200,14,2,104.90106321
"527",200,15,3,77.02440843
"528",200,16,4,58.73525433
"529",200,17,5,47.06737502
"530",200,18,0,39.27831944
"531",200,19,1,131.41707428
"532",200,20,2,109.35627147
"533",200,21,3,81.0390094
"534",200,22,4,62.35289473
"535",200,23,5,50.32734362
"536",200,24,0,42.21599852
"537",200,25,1,134.06433658
"538",200,26,2,111.74183277
"539",200,27,3,83.18874354
"540",200,28,4,64.29011614
"541",200,29,5,52.07306109
"542",200,30,0,43.78914357
"543",200,31,1,135.48196901
"544",200,32,2,113.01932583
"545",200,33,3,84.33995071
"546",200,34,4,65.32752136
"547",200,35,5,53.00791422
"548",200,36,0,44.63158233
"549",200,37,1,136.24112899
"550",200,38,2,113.7034395
"551",200,39,3,84.95643672
"552",200,40,4,65.88306501
"553",200,41,5,53.50853993
"554",200,42,0,45.08271898
"555",200,43,1,136.64766879
"556",200,44,2,114.06979105
"557",200,45,3,85.28657282
"558",200,46,4,66.1805657
"559",200,47,5,53.77663136
"560",200,48,0,45.3243084
"561",200,49,1,136.86537603
"562",200,50,2,114.26597697
"563",200,51,3,85.46336489
"564",200,52,4,66.3398811
"565",200,53,5,53.92019773
"566",200,54,0,45.4536826
"567",200,55,1,136.98196102
"568",200,56,2,114.37103702
"569",200,57,3,85.55803929
"570",200,58,4,66.42519652
"571",200,59,5,53.99707935
"572",200,60,0,45.52296412
"573",200,61,1,137.04439376
"574",200,62,2,114.42729801
"575",200,63,3,85.60873863
"576",200,64,4,66.47088401
"577",200,65,5,54.03825043
"578",200,66,0,45.56006526
"579",200,67,1,137.07782729
"580",200,68,2,114.45742649
"581",200,69,3,85.63588878
"582",200,70,4,66.49535024
"583",200,71,5,54.06029806
"584",200,72,6,45.57993339
"585",200,0,0,0
"586",200,1,1,84.89823343
"587",200,2,2,51.22829556
"588",200,3,3,33.69621125
"589",200,4,4,25.22848238
"590",200,5,5,20.35890194
"591",200,6,0,17.10546752
"592",200,7,1,99.59782583
"593",200,8,2,64.03141264
"594",200,9,3,44.94244725
